,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
100,True,Europe,Austria,2313.0,1630.0,Obertauern,November - May,46,https://ski-resort-stats.com/Obertauern,61.0,35.0,4.0,11,18.0,2.0,True,True,280.0,AUT,683.0,100.0,November,May
101,True,Europe,Austria,2080.0,981.0,Elfer Neustift,December - March,29,https://ski-resort-stats.com/Elfer-Neustift,0.0,7.0,0.0,3,0.0,1.0,False,False,,AUT,1099.0,7.0,December,March
102,True,Europe,Austria,2820.0,1200.0,Serfaus-Fiss-Ladis,December - April,49,https://ski-resort-stats.com/Serfaus-Fiss-Ladis,47.0,123.0,28.0,40,16.0,12.0,True,True,1250.0,AUT,1620.0,198.0,December,April
103,True,Europe,Austria,1900.0,800.0,Hochkönig-Maria Alm/Dienten/Mühlbach,December - April,52,https://ski-resort-stats.com/hochko%CC%88nig-maria-alm%E2%80%8Bdienten%E2%80%8Bmu%CC%88hlbach,52.0,41.0,19.0,21,9.0,5.0,True,True,520.0,AUT,1100.0,112.0,December,April
104,True,Europe,Austria,2500.0,630.0,Mayrhofen-Penken/Ahorn/Rastkogel/Eggalm,December - April,52,https://ski-resort-stats.com/mayrhofen-penken%E2%80%8Bahorn%E2%80%8Brastkogel%E2%80%8Beggalm,40.0,66.0,30.0,31,17.0,9.0,True,False,286.0,AUT,1870.0,136.0,December,April
105,True,Europe,Austria,2811.0,1270.0,St. Anton (Ski Arlberg),December - April,53,https://ski-resort-stats.com/st-anton,130.0,123.0,51.0,53,45.0,15.0,True,False,747.0,AUT,1541.0,304.0,December,April
106,True,Europe,Austria,2340.0,1580.0,Axamer Lizum,November - April,38,https://ski-resort-stats.com/axamer-lizum,7.0,21.0,2.0,3,6.0,1.0,True,False,,AUT,760.0,30.0,November,April
107,True,Europe,Austria,1980.0,740.0,Flachau (Ski amedé),November - April,52,https://ski-resort-stats.com/flachau,,,,,,,False,False,,AUT,1240.0,0.0,November,April
108,True,Europe,Austria,2025.0,830.0,Ski Juwel Alpbachtal Wildschönau,December - April,46,https://ski-resort-stats.com/ski-juwel-alpbachtal-wildscho%CC%88nau,,,,,,,False,False,,AUT,1195.0,0.0,December,April
109,True,Europe,Austria,2872.0,1377.0,Ischgl,November - May,52,https://ski-resort-stats.com/Ischgl,47.0,142.0,49.0,13,25.0,7.0,True,False,1200.0,AUT,1495.0,238.0,November,May
110,True,Europe,Austria,2300.0,860.0,Bad Gastein,November - April,52,https://ski-resort-stats.com/bad-gastein,30.6,52.8,2.6,10,9.0,7.0,True,False,800.0,AUT,1440.0,86.0,November,April
111,True,Europe,Austria,2300.0,1423.0,Gargellen,December - April,47,https://ski-resort-stats.com/Gargellen,20.8,5.3,2.0,5,3.0,1.0,True,False,83.0,AUT,877.0,28.1,December,April
112,True,Europe,Austria,2811.0,1270.0,Lech (Ski Arlberg),December - April,53,https://ski-resort-stats.com/Lech,,,,,,,,,,AUT,1541.0,0.0,December,April
